mode,task_id,region,memory_gb,latency_ms,cost,energy,status
最小延迟,STR-006,海南,8.0,31.959843176344986,17.399607940862463,1.3919686352689966,SUCCEEDED
最小延迟,STR-007,海南,10.0,34.980380472406885,24.95095118101721,1.9960760944813762,SUCCEEDED
最小延迟,STR-008,海南,10.0,33.58393183033809,21.459829575845223,1.7167863660676175,SUCCEEDED
最小延迟,STR-009,海南,10.0,34.52629501799428,23.815737544985694,1.905259003598855,SUCCEEDED
最小延迟,STR-010,海南,16.0,29.875056148341727,12.187640370854318,0.9750112296683452,SUCCEEDED
最小延迟,STR-011,海南,10.0,33.00715487636769,20.01788719091924,1.601430975273539,SUCCEEDED
最小延迟,STR-012,海南,8.0,34.04522076690158,22.61305191725395,1.8090441533803159,SUCCEEDED
最小延迟,STR-013,海南,8.0,31.31816721907262,15.795418047681547,1.2636334438145234,SUCCEEDED
最小延迟,STR-014,海南,8.0,36.87873311085587,29.696832777139672,2.375746622171173,SUCCEEDED
最小延迟,STR-015,海南,8.0,34.65751885692131,24.143797142303264,1.9315037713842607,SUCCEEDED
最小延迟,STR-016,海南,8.0,33.05476979844846,20.13692449612115,1.6109539596896916,SUCCEEDED
最小延迟,STR-017,海南,8.0,33.956197578885366,22.390493947213407,1.791239515777072,SUCCEEDED
最小延迟,STR-018,海南,8.0,34.81926086492345,24.548152162308625,1.9638521729846896,SUCCEEDED
最小延迟,STR-019,海南,10.0,30.736968160287606,14.342420400719018,1.147393632057521,SUCCEEDED
最小延迟,STR-020,海南,10.0,32.615110643948285,19.037776609870708,1.5230221287896561,SUCCEEDED
最小延迟,STR-021,海南,16.0,34.516252469336294,23.790631173340735,1.9032504938672583,SUCCEEDED
最小延迟,STR-022,海南,8.0,30.463370530970174,13.658426327425431,1.0926741061940342,SUCCEEDED
最小延迟,STR-023,海南,8.0,36.57480768243782,28.937019206094547,2.314961536487563,SUCCEEDED
最小延迟,STR-024,海南,16.0,34.1232563192666,22.808140798166505,1.82465126385332,SUCCEEDED
最小延迟,STR-025,海南,8.0,29.895622058736727,12.239055146841821,0.9791244117473455,SUCCEEDED
最小延迟,STR-026,海南,16.0,29.937739823931445,12.344349559828613,0.9875479647862888,SUCCEEDED
最小延迟,STR-027,海南,8.0,31.354393578801297,15.885983947003242,1.270878715760259,SUCCEEDED
最小延迟,STR-028,海南,8.0,34.81460330695969,24.536508267399224,1.9629206613919374,SUCCEEDED
最小延迟,STR-029,海南,8.0,29.81839656728082,12.045991418202055,0.9636793134561642,SUCCEEDED
最小延迟,STR-030,海南,8.0,29.053291532167016,10.13322883041754,0.810658306433403,SUCCEEDED
最小延迟,STR-031,海南,10.0,34.502097618461576,23.755244046153933,1.900419523692314,SUCCEEDED
最小延迟,STR-032,海南,8.0,36.310522448250836,28.276306120627098,2.2621044896501674,SUCCEEDED
最小延迟,STR-033,海南,16.0,34.52757579848215,23.818939496205374,1.9055151596964297,SUCCEEDED
最小延迟,STR-034,海南,10.0,35.36319301151968,25.907982528799195,2.072638602303935,SUCCEEDED
最小延迟,STR-035,海南,10.0,33.17912528931427,20.44781322328567,1.6358250578628533,SUCCEEDED
最小延迟,STR-036,海南,10.0,33.2018692972314,20.5046732430785,1.6403738594462798,SUCCEEDED
最小延迟,STR-037,海南,8.0,32.369408159261376,18.423520398153443,1.4738816318522752,SUCCEEDED
最小延迟,STR-038,海南,16.0,30.044694689222965,12.611736723057415,1.008938937844593,SUCCEEDED
最小延迟,STR-039,海南,8.0,29.512201388639152,11.28050347159788,0.9024402777278302,SUCCEEDED
最小延迟,STR-040,海南,8.0,34.59873552236866,23.99683880592166,1.9197471044737322,SUCCEEDED
最小延迟,STR-041,海南,16.0,34.197965990869854,22.99491497717463,1.83959319817397,SUCCEEDED
最小延迟,STR-042,海南,8.0,36.30757281863373,28.268932046584318,2.261514563726745,SUCCEEDED
最小延迟,STR-043,海南,10.0,36.38873198797497,28.471829969937428,2.277746397594994,SUCCEEDED
最小延迟,STR-044,海南,16.0,35.47142368399676,26.178559209991903,2.094284736799352,SUCCEEDED
最小延迟,STR-045,海南,16.0,31.85052496953851,17.12631242384628,1.3701049939077021,SUCCEEDED
最小延迟,STR-046,海南,10.0,36.0264960007297,27.566240001824255,2.20529920014594,SUCCEEDED
最小延迟,STR-047,海南,10.0,32.11749662971537,17.79374157428842,1.4234993259430733,SUCCEEDED
最小延迟,STR-048,海南,10.0,33.966537926738695,22.41634481684673,1.793307585347738,SUCCEEDED
最小延迟,STR-049,海南,16.0,31.13902418240306,15.347560456007646,1.2278048364806113,SUCCEEDED
最小延迟,STR-050,海南,10.0,36.73617694513628,29.340442362840697,2.3472353890272553,SUCCEEDED
最小延迟,STR-051,海南,10.0,30.975911384627317,14.939778461568295,1.1951822769254634,SUCCEEDED
最小延迟,STR-052,海南,16.0,30.491812999121635,13.729532497804088,1.098362599824327,SUCCEEDED
最小延迟,STR-053,海南,8.0,36.58803199126531,28.970079978163284,2.317606398253062,SUCCEEDED
最小延迟,STR-054,海南,8.0,29.099833321836794,10.249583304591985,0.8199666643673587,SUCCEEDED
最小延迟,STR-055,海南,8.0,31.92268869512043,17.30672173780108,1.384537739024086,SUCCEEDED
最小延迟,STR-056,海南,8.0,33.1051086501977,20.26277162549425,1.6210217300395395,SUCCEEDED
最小延迟,STR-057,海南,16.0,36.27663393332601,28.191584833315023,2.255326786665201,SUCCEEDED
最小延迟,STR-058,海南,8.0,35.470097180567535,26.175242951418838,2.0940194361135065,SUCCEEDED
最小延迟,STR-059,海南,10.0,36.2909217204227,28.227304301056762,2.2581843440845404,SUCCEEDED
最小延迟,STR-060,海南,8.0,32.97114975755299,19.92787439388248,1.594229951510598,SUCCEEDED
最小成本,STR-001,重庆,8.0,53.32378576451022,16.64757152902044,3.329514305804088,SUCCEEDED
最小成本,STR-002,重庆,10.0,51.568364977787944,13.136729955575884,2.627345991115177,SUCCEEDED
最小成本,STR-003,重庆,10.0,51.64808081302437,13.296161626048745,2.659232325209749,SUCCEEDED
最小成本,STR-004,重庆,8.0,52.71990307881464,15.439806157629276,3.0879612315258553,SUCCEEDED
最小成本,STR-005,海南,16.0,32.89508987024774,19.737724675619337,1.5790179740495467,SUCCEEDED
最小成本,STR-006,重庆,8.0,51.95984317634498,13.91968635268997,2.783937270537994,SUCCEEDED
最小成本,STR-007,重庆,10.0,54.980380472406885,19.960760944813767,3.992152188962754,SUCCEEDED
最小成本,STR-008,重庆,10.0,53.58393183033809,17.16786366067618,3.433572732135236,SUCCEEDED
最小成本,STR-009,重庆,10.0,54.52629501799428,19.052590035988555,3.810518007197711,SUCCEEDED
最小成本,STR-010,海南,16.0,29.875056148341727,12.187640370854318,0.9750112296683452,SUCCEEDED
最小成本,STR-011,重庆,10.0,53.00715487636769,16.014309752735393,3.202861950547079,SUCCEEDED
最小成本,STR-012,重庆,8.0,54.04522076690158,18.090441533803162,3.6180883067606326,SUCCEEDED
最小成本,STR-013,重庆,8.0,51.31816721907262,12.636334438145237,2.5272668876290476,SUCCEEDED
最小成本,STR-014,重庆,8.0,56.87873311085587,23.757466221711738,4.751493244342348,SUCCEEDED
最小成本,STR-015,重庆,8.0,54.65751885692131,19.31503771384261,3.863007542768522,SUCCEEDED
最小成本,STR-016,重庆,8.0,53.05476979844846,16.10953959689692,3.221907919379384,SUCCEEDED
最小成本,STR-017,重庆,8.0,53.956197578885366,17.912395157770725,3.5824790315541453,SUCCEEDED
最小成本,STR-018,重庆,8.0,54.81926086492345,19.6385217298469,3.92770434596938,SUCCEEDED
最小成本,STR-019,重庆,10.0,50.73696816028761,11.473936320575215,2.294787264115043,SUCCEEDED
最小成本,STR-020,重庆,10.0,52.615110643948285,15.230221287896565,3.046044257579313,SUCCEEDED
最小成本,STR-021,海南,16.0,34.516252469336294,23.790631173340735,1.9032504938672583,SUCCEEDED
最小成本,STR-022,重庆,8.0,50.463370530970174,10.926741061940344,2.1853482123880688,SUCCEEDED
最小成本,STR-023,重庆,8.0,56.57480768243782,23.149615364875636,4.629923072975127,SUCCEEDED
最小成本,STR-024,海南,16.0,34.1232563192666,22.808140798166505,1.82465126385332,SUCCEEDED
最小成本,STR-025,重庆,8.0,49.89562205873673,9.791244117473457,1.9582488234946915,SUCCEEDED
最小成本,STR-026,海南,16.0,29.937739823931445,12.344349559828613,0.9875479647862888,SUCCEEDED
最小成本,STR-027,重庆,8.0,51.35439357880129,12.708787157602593,2.541757431520519,SUCCEEDED
最小成本,STR-028,重庆,8.0,54.81460330695969,19.62920661391938,3.925841322783876,SUCCEEDED
最小成本,STR-029,重庆,8.0,49.81839656728082,9.636793134561644,1.927358626912329,SUCCEEDED
最小成本,STR-030,重庆,8.0,49.053291532167016,8.106583064334032,1.6213166128668064,SUCCEEDED
最小成本,STR-031,重庆,10.0,54.502097618461576,19.004195236923145,3.8008390473846294,SUCCEEDED
最小成本,STR-032,重庆,8.0,56.310522448250836,22.62104489650168,4.524208979300336,SUCCEEDED
