virtual_slot,virtual_hour,task_id,required_memory_gb,mode,selected_region,status
17,4.25,TC30-H17-T1,8.0,海南优先,海南,SUCCEEDED
17,4.25,TC30-H17-T2,8.0,加权平均,海南,SUCCEEDED
18,4.5,TC30-H18-T1,8.0,加权平均,海南,SUCCEEDED
18,4.5,TC30-H18-T2,8.0,海南优先,海南,SUCCEEDED
19,4.75,TC30-H19-T1,8.0,加权平均,海南,SUCCEEDED
19,4.75,TC30-H19-T2,8.0,海南优先,海南,SUCCEEDED
20,5.0,TC30-H20-T1,8.0,加权平均,海南,SUCCEEDED
20,5.0,TC30-H20-T2,8.0,海南优先,海南,SUCCEEDED
21,5.25,TC30-H21-T1,8.0,海南优先,海南,SUCCEEDED
21,5.25,TC30-H21-T2,8.0,海南优先,海南,SUCCEEDED
22,5.5,TC30-H22-T1,8.0,海南优先,海南,SUCCEEDED
22,5.5,TC30-H22-T2,8.0,海南优先,海南,SUCCEEDED
23,5.75,TC30-H23-T1,8.0,加权平均,海南,SUCCEEDED
23,5.75,TC30-H23-T2,8.0,加权平均,海南,SUCCEEDED
24,6.0,TC30-H24-T1,8.0,海南优先,海南,SUCCEEDED
24,6.0,TC30-H24-T2,8.0,海南优先,海南,SUCCEEDED
25,6.25,TC30-H25-T1,8.0,海南优先,海南,SUCCEEDED
25,6.25,TC30-H25-T2,16.0,加权平均,海南,SUCCEEDED
26,6.5,TC30-H26-T1,16.0,海南优先,海南,SUCCEEDED
26,6.5,TC30-H26-T2,8.0,加权平均,海南,SUCCEEDED
27,6.75,TC30-H27-T1,8.0,加权平均,海南,SUCCEEDED
27,6.75,TC30-H27-T2,8.0,海南优先,海南,SUCCEEDED
28,7.0,TC30-H28-T1,8.0,海南优先,海南,SUCCEEDED
28,7.0,TC30-H28-T2,8.0,海南优先,海南,SUCCEEDED
29,7.25,TC30-H29-T1,8.0,海南优先,海南,SUCCEEDED
29,7.25,TC30-H29-T2,8.0,海南优先,海南,SUCCEEDED
30,7.5,TC30-H30-T1,8.0,加权平均,海南,SUCCEEDED
30,7.5,TC30-H30-T2,8.0,海南优先,海南,SUCCEEDED
31,7.75,TC30-H31-T1,8.0,加权平均,海南,SUCCEEDED
31,7.75,TC30-H31-T2,8.0,海南优先,海南,SUCCEEDED
32,8.0,TC30-H32-T1,8.0,加权平均,海南,SUCCEEDED
32,8.0,TC30-H32-T2,8.0,加权平均,海南,SUCCEEDED
33,8.25,TC30-H33-T1,8.0,海南优先,海南,SUCCEEDED
33,8.25,TC30-H33-T2,8.0,加权平均,海南,SUCCEEDED
